"","RAB.mean","GAD.mean","GAD.Total.Adj","CRA.mean","FOC.mean","IUS.mean","MAAS.mean","RiskPerception","FinancialSatisfaction","age","sex","edu","Country"
"165",4,1,0,2.83333333333333,3.5,3.33333333333333,2.6,35,48,29,1,2,"Turkey"
"166",3.16666666666667,1.14285714285714,1,2.33333333333333,3.5,3.33333333333333,4.2,27,20,51,1,3,"Turkey"
"167",3.16666666666667,2.14285714285714,8,3,3.83333333333333,3.33333333333333,3.4,25,75,32,1,3,"Turkey"
"168",2.83333333333333,1,0,1,1.66666666666667,1,6,100,88,50,1,2,"Turkey"
"169",3.83333333333333,1.71428571428571,5,2.66666666666667,2.83333333333333,2.66666666666667,3.2,25,9,44,1,3,"Turkey"
"170",3,1.85714285714286,6,3.66666666666667,3.83333333333333,3.66666666666667,3.8,50,46,35,1,3,"Turkey"
"171",3.33333333333333,2.42857142857143,10,4,3.83333333333333,4.33333333333333,2.8,52,51,20,1,1,"Turkey"
"172",3,2.42857142857143,10,3.5,3.66666666666667,3,3.2,70,50,28,1,3,"Turkey"
"173",3.83333333333333,1.57142857142857,4,2.66666666666667,3,3.66666666666667,3.8,48,81,48,2,3,"Turkey"
"174",4,2.85714285714286,13,2.16666666666667,3.66666666666667,3,3,0,70,43,1,1,"Turkey"
"175",3.5,1,0,1,4.5,1,5,72,85,64,2,3,"Turkey"
"176",3.66666666666667,3.14285714285714,15,3.66666666666667,4.33333333333333,4.66666666666667,2.8,50,0,25,1,3,"Turkey"
"177",4,1.71428571428571,5,2.5,3.66666666666667,4.66666666666667,4.6,20,70,60,1,3,"Turkey"
"178",3.66666666666667,1.14285714285714,1,2.5,4,3.33333333333333,5.2,54,60,51,2,3,"Turkey"
"179",1.33333333333333,1.85714285714286,6,3.5,3.5,4.66666666666667,2.6,70,45,25,3,1,"Turkey"
"180",2.16666666666667,1,0,2.16666666666667,2.66666666666667,2,4,25,75,50,2,3,"Turkey"
"181",3.83333333333333,1.71428571428571,5,3.5,4,2.33333333333333,2,51,70,63,1,3,"Turkey"
"182",2.5,1.28571428571429,2,1,2,1.66666666666667,4.2,0,15,56,2,3,"Turkey"
"183",4,2.14285714285714,8,3.83333333333333,3,3.33333333333333,3.2,80,0,32,1,2,"Turkey"
"184",3.66666666666667,1.71428571428571,5,2.5,4.16666666666667,4,4.6,21,89,22,1,3,"Turkey"
"185",3.83333333333333,3,14,3.66666666666667,4.83333333333333,4.66666666666667,2.2,49.8004646360351,70,63,1,3,"Turkey"
"186",4,2.57142857142857,11,3.5,2.5,3,4,40,70,54,1,3,"Turkey"
"187",3.83333333333333,1.14285714285714,1,2.66666666666667,4,3.66666666666667,5.4,21,52,51,1,3,"Turkey"
"188",3.16666666666667,1.42857142857143,3,1.33333333333333,3.5,3.33333333333333,3,49.8004646360351,25,31,1,2,"Turkey"
"189",4,1,0,1.16666666666667,2.66666666666667,1.66666666666667,3,11,67,67,2,3,"Turkey"
"190",3.33333333333333,1.57142857142857,4,2.83333333333333,2.83333333333333,3.66666666666667,2.8,65,70,39,1,3,"Turkey"
"191",4,2,7,2.66666666666667,3.5,3.33333333333333,3.6,50,68,33,1,2,"Turkey"
"192",3.33333333333333,2.85714285714286,13,3.83333333333333,2.83333333333333,3,2.2,100,82,52,1,3,"Turkey"
"193",2.5,1,0,2.5,2.33333333333333,4,2.8,14,55,22,1,1,"Turkey"
"194",4,2,7,2.83333333333333,3.16666666666667,3,3.2,52,90,50,1,3,"Turkey"
"195",3.66666666666667,1.42857142857143,3,2,3.33333333333333,3.33333333333333,3.8,60,90,31,1,2,"Turkey"
"196",3.83333333333333,2.42857142857143,10,3.66666666666667,2.83333333333333,4.33333333333333,3,22,17,22,1,3,"Turkey"
"197",4,2.28571428571429,9,2,5,3.33333333333333,2.8,70,41,45,1,3,"Turkey"
"198",3.5,1.71428571428571,5,2,3.33333333333333,3,4.4,31,70,66,2,3,"Turkey"
"199",3.5,2.42857142857143,10,2.83333333333333,3.33333333333333,4,2,50,75,54,1,3,"Turkey"
"200",1.66666666666667,1,0,1.5,3.33333333333333,2,4.6,75,90,38,2,2,"Turkey"
"201",3.83333333333333,2.28571428571429,9,2.66666666666667,3.5,3.33333333333333,2.4,53,91,65,1,1,"Turkey"
"202",2,1.85714285714286,6,2.66666666666667,3.33333333333333,3.33333333333333,4.2,50,44,23,1,1,"Turkey"
"203",3.66666666666667,1,0,2.66666666666667,4,3.66666666666667,3.8,100,30,62,2,3,"Turkey"
"204",2.83333333333333,1.71428571428571,5,3.16666666666667,3.33333333333333,3.66666666666667,3.2,100,60,38,2,3,"Turkey"
"205",3.66666666666667,1.57142857142857,4,2.33333333333333,3.5,3.33333333333333,2.6,49,74,52,1,3,"Turkey"
"206",3.66666666666667,2.85714285714286,13,3.5,3.33333333333333,2.33333333333333,2.2,1,53,47,1,1,"Turkey"
"207",4,1,0,2.83333333333333,2.33333333333333,2,3.4,49.8004646360351,44,64,1,3,"Turkey"
"208",3.33333333333333,1.28571428571429,2,2,2,2.33333333333333,4.6,80,60,28,1,3,"Turkey"
"209",4,2.57142857142857,11,3.5,3.83333333333333,3.33333333333333,3.6,50,40,32,2,3,"Turkey"
"210",3.83333333333333,3.71428571428571,19,4,3.83333333333333,4.66666666666667,1.8,70,50,20,1,1,"Turkey"
"211",3.66666666666667,2.28571428571429,9,3,3,3.33333333333333,3.4,60,30,59,2,3,"Turkey"
"212",3.66666666666667,1.42857142857143,3,1.5,4,2.66666666666667,4.4,50,91,44,1,2,"Turkey"
"213",3.16666666666667,2.42857142857143,10,3.33333333333333,2.33333333333333,4.33333333333333,2.8,7,4,32,1,3,"Turkey"
"214",3.16666666666667,2.42857142857143,10,3,3.83333333333333,3.33333333333333,3.2,57,40,35,1,2,"Turkey"
"215",3.83333333333333,2,7,2.5,4,3.66666666666667,3.8,20,40,27,2,3,"Turkey"
